p cnf 231 393
-27 -25 -231 0
-27 -25 231 0
-27 -21 -230 0
-27 -21 230 0
-27 -26 -229 0
-27 -26 229 0
-27 -24 -228 0
-27 -24 228 0
-18 -16 -227 0
-18 -16 227 0
-18 -12 -226 0
-18 -12 226 0
-18 -17 -225 0
-18 -17 225 0
-18 -15 -224 0
-18 -15 224 0
-9 -8 -223 0
-9 -8 223 0
-9 -6 -222 0
-9 -6 222 0
-26 -20 -221 0
-26 -20 221 0
-26 -25 -220 0
-26 -25 220 0
-26 -23 -219 0
-26 -23 219 0
-17 -11 -218 0
-17 -11 218 0
-17 -16 -217 0
-17 -16 217 0
-17 -14 -216 0
-17 -14 216 0
-8 -7 -215 0
-8 -7 215 0
-8 -5 -214 0
-8 -5 214 0
-25 -19 -213 0
-25 -19 213 0
-25 -26 -212 0
-25 -26 212 0
-25 -22 -211 0
-25 -22 211 0
-16 -10 -210 0
-16 -10 210 0
-16 -17 -209 0
-16 -17 209 0
-16 -13 -208 0
-16 -13 208 0
-7 -8 -207 0
-7 -8 207 0
-7 -4 -206 0
-7 -4 206 0
-33 -31 -205 0
-33 -31 205 0
-33 -32 -204 0
-33 -32 204 0
-33 -36 -203 0
-33 -36 203 0
-33 -30 -202 0
-33 -30 202 0
-24 -22 -201 0
-24 -22 201 0
-24 -23 -200 0
-24 -23 200 0
-24 -27 -199 0
-24 -27 199 0
-24 -21 -198 0
-24 -21 198 0
-15 -13 -197 0
-15 -13 197 0
-15 -14 -196 0
-15 -14 196 0
-15 -18 -195 0
-15 -18 195 0
-15 -12 -194 0
-15 -12 194 0
-6 -5 -193 0
-6 -5 193 0
-6 -9 -192 0
-6 -9 192 0
-6 -3 -191 0
-6 -3 191 0
-32 -31 -190 0
-32 -31 190 0
-32 -33 -189 0
-32 -33 189 0
-32 -35 -188 0
-32 -35 188 0
-32 -29 -187 0
-32 -29 187 0
-23 -22 -186 0
-23 -22 186 0
-23 -24 -185 0
-23 -24 185 0
-23 -26 -184 0
-23 -26 184 0
-23 -20 -183 0
-23 -20 183 0
-14 -13 -182 0
-14 -13 182 0
-14 -15 -181 0
-14 -15 181 0
-14 -17 -180 0
-14 -17 180 0
-14 -11 -179 0
-14 -11 179 0
-5 -4 -178 0
-5 -4 178 0
-5 -6 -177 0
-5 -6 177 0
-5 -8 -176 0
-5 -8 176 0
-5 -2 -175 0
-5 -2 175 0
-30 -28 -174 0
-30 -28 174 0
-30 -36 -173 0
-30 -36 173 0
-30 -29 -172 0
-30 -29 172 0
-30 -33 -171 0
-30 -33 171 0
-21 -19 -170 0
-21 -19 170 0
-21 -27 -169 0
-21 -27 169 0
-21 -20 -168 0
-21 -20 168 0
-21 -24 -167 0
-21 -24 167 0
-12 -10 -166 0
-12 -10 166 0
-12 -18 -165 0
-12 -18 165 0
-12 -11 -164 0
-12 -11 164 0
-12 -15 -163 0
-12 -15 163 0
-3 -2 -162 0
-3 -2 162 0
-3 -6 -161 0
-3 -6 161 0
-29 -35 -160 0
-29 -35 160 0
-29 -28 -159 0
-29 -28 159 0
-29 -30 -158 0
-29 -30 158 0
-29 -32 -157 0
-29 -32 157 0
-20 -26 -156 0
-20 -26 156 0
-20 -19 -155 0
-20 -19 155 0
-20 -21 -154 0
-20 -21 154 0
-20 -23 -153 0
-20 -23 153 0
-11 -17 -152 0
-11 -17 152 0
-11 -10 -151 0
-11 -10 151 0
-11 -12 -150 0
-11 -12 150 0
-11 -14 -149 0
-11 -14 149 0
-2 -1 -148 0
-2 -1 148 0
-2 -3 -147 0
-2 -3 147 0
-2 -5 -146 0
-2 -5 146 0
-13 -15 -145 0
-13 -15 145 0
-13 -14 -144 0
-13 -14 144 0
-13 -16 -143 0
-13 -16 143 0
-13 -10 -142 0
-13 -10 142 0
-4 -5 -141 0
-4 -5 141 0
-4 -7 -140 0
-4 -7 140 0
-4 -1 -139 0
-4 -1 139 0
-10 -12 -138 0
-10 -12 138 0
-10 -16 -137 0
-10 -16 137 0
-10 -11 -136 0
-10 -11 136 0
-10 -13 -135 0
-10 -13 135 0
-1 -2 -134 0
-1 -2 134 0
-1 -4 -133 0
-1 -4 133 0
-26 -27 -132 0
-26 -27 132 0
-17 -18 -131 0
-17 -18 131 0
-8 -9 -130 0
-8 -9 130 0
-25 -27 -129 0
-25 -27 129 0
-16 -18 -128 0
-16 -18 128 0
-7 -9 -127 0
-7 -9 127 0
-25 -26 -126 0
-25 -26 126 0
-16 -17 -125 0
-16 -17 125 0
-7 -8 -124 0
-7 -8 124 0
-32 -33 -123 0
-32 -33 123 0
-23 -24 -122 0
-23 -24 122 0
-14 -15 -121 0
-14 -15 121 0
-5 -6 -120 0
-5 -6 120 0
-30 -33 -119 0
-30 -33 119 0
-21 -24 -118 0
-21 -24 118 0
-12 -15 -117 0
-12 -15 117 0
-3 -6 -116 0
-3 -6 116 0
-30 -32 -115 0
-30 -32 115 0
-21 -23 -114 0
-21 -23 114 0
-12 -14 -113 0
-12 -14 113 0
-3 -5 -112 0
-3 -5 112 0
-29 -33 -111 0
-29 -33 111 0
-20 -24 -110 0
-20 -24 110 0
-11 -15 -109 0
-11 -15 109 0
-2 -6 -108 0
-2 -6 108 0
-29 -32 -107 0
-29 -32 107 0
-20 -23 -106 0
-20 -23 106 0
-11 -14 -105 0
-11 -14 105 0
-2 -5 -104 0
-2 -5 104 0
-29 -30 -103 0
-29 -30 103 0
-20 -21 -102 0
-20 -21 102 0
-11 -12 -101 0
-11 -12 101 0
-2 -3 -100 0
-2 -3 100 0
-10 -13 -99 0
-10 -13 99 0
-1 -4 -98 0
-1 -4 98 0
-36 -96 -97 0
-36 96 -97 0
-36 -96 97 0
-36 96 97 0
9 18 27 0
-18 -27 -95 0
-18 -27 95 0
-9 -27 -94 0
-9 -27 94 0
-9 -18 -93 0
-9 -18 93 0
-35 -91 -92 0
-35 91 -92 0
-35 -91 92 0
-35 91 92 0
8 17 26 0
-17 -26 -90 0
-17 -26 90 0
-8 -26 -89 0
-8 -26 89 0
-8 -17 -88 0
-8 -17 88 0
-34 -86 -87 0
-34 86 -87 0
-34 -86 87 0
-34 86 87 0
7 16 25 0
-16 -25 -85 0
-16 -25 85 0
-7 -25 -84 0
-7 -25 84 0
-7 -16 -83 0
-7 -16 83 0
-82 24 33 0
6 15 82 0
-24 -33 -81 0
-24 -33 81 0
-15 -33 -80 0
-15 -33 80 0
-15 -24 -79 0
-15 -24 79 0
-6 -33 -78 0
-6 -33 78 0
-6 -24 -77 0
-6 -24 77 0
-6 -15 -76 0
-6 -15 76 0
-75 23 32 0
5 14 75 0
-23 -32 -74 0
-23 -32 74 0
-14 -32 -73 0
-14 -32 73 0
-14 -23 -72 0
-14 -23 72 0
-5 -32 -71 0
-5 -32 71 0
-5 -23 -70 0
-5 -23 70 0
-5 -14 -69 0
-5 -14 69 0
-68 21 30 0
3 12 68 0
-21 -30 -67 0
-21 -30 67 0
-12 -30 -66 0
-12 -30 66 0
-12 -21 -65 0
-12 -21 65 0
-3 -30 -64 0
-3 -30 64 0
-3 -21 -63 0
-3 -21 63 0
-3 -12 -62 0
-3 -12 62 0
-61 20 29 0
2 11 61 0
-20 -29 -60 0
-20 -29 60 0
-11 -29 -59 0
-11 -29 59 0
-11 -20 -58 0
-11 -20 58 0
-2 -29 -57 0
-2 -29 57 0
-2 -20 -56 0
-2 -20 56 0
-2 -11 -55 0
-2 -11 55 0
-31 -53 -54 0
-31 53 -54 0
-31 -53 54 0
-31 53 54 0
-22 -51 -52 0
-22 51 -52 0
-22 -51 52 0
-22 51 52 0
4 13 -50 0
4 13 50 0
-4 -13 -49 0
-4 -13 49 0
-28 -47 -48 0
-28 47 -48 0
-28 -47 48 0
-28 47 48 0
-19 -45 -46 0
-19 45 -46 0
-19 -45 46 0
-19 45 46 0
1 10 -44 0
1 10 44 0
-1 -10 -43 0
-1 -10 43 0
7 -41 -42 0
7 41 -42 0
7 -41 42 0
7 41 42 0
24 -39 -40 0
24 39 -40 0
24 -39 40 0
24 39 40 0
32 -37 -38 0
32 37 -38 0
32 -37 38 0
32 37 38 0
